iter	RMSE
0	5.44280691
1	4.56540841
2	4.091555432
3	3.73930824
4	3.53113557
5	3.34610431
6	3.244654879
7	3.1383358
8	3.051336175
9	3.003476374
10	2.96108402
11	2.904171889
12	2.872494703
13	2.816856822
14	2.794967656
15	2.746681057
16	2.688040935
17	2.654931511
18	2.62888705
19	2.600649812
20	2.583868285
21	2.555717697
22	2.539301885
23	2.507927489
24	2.492379203
25	2.475246342
26	2.462262238
27	2.44417042
28	2.431588999
29	2.415833884
30	2.403964357
31	2.383766529
32	2.372231286
33	2.357141266
34	2.347505976
35	2.338872318
36	2.330912659
37	2.323592323
38	2.311247314
39	2.299020632
40	2.26948268
41	2.256827664
42	2.250595143
43	2.234721069
44	2.228087852
45	2.218567208
46	2.209061638
47	2.203143581
48	2.196240136
49	2.179597449
50	2.172435131
51	2.153173832
52	2.146365788
53	2.13697939
54	2.130567037
55	2.12492633
56	2.113565665
57	2.10726311
58	2.092728947
59	2.086604406
60	2.080174734
61	2.073457642
62	2.065982856
63	2.054876733
64	2.047036188
65	2.036801777
66	2.027313039
67	2.019778033
68	2.014495855
69	2.010020005
70	2.006448799
71	1.999516706
72	1.992678407
73	1.986798994
74	1.983157484
75	1.978892254
76	1.970757841
77	1.967432724
78	1.964363981
79	1.960888639
80	1.956083589
81	1.952757951
82	1.94880294
83	1.944752931
84	1.941241148
85	1.937477226
86	1.935200734
87	1.93249105
88	1.926389147
89	1.923274592
90	1.919390907
91	1.915534627
92	1.911987526
93	1.904657259
94	1.900272146
95	1.894543039
96	1.887237574
97	1.884055688
98	1.880500279
99	1.878192043
100	1.87443976
101	1.870918616
102	1.868485486
103	1.866127259
104	1.863052931
105	1.860398308
106	1.858886892
107	1.85365607
108	1.850058795
109	1.845378547
110	1.843659719
111	1.840492754
112	1.83761249
113	1.835028648
114	1.833117913
115	1.826479333
116	1.823972879
117	1.822039942
118	1.81899235
119	1.814447934
120	1.810466574
121	1.806360461
122	1.802366134
123	1.798484568
124	1.792792175
125	1.789266477
126	1.787103606
127	1.783145664
128	1.777881191
129	1.774981336
130	1.772399862
131	1.770023017
132	1.768438108
133	1.765644904
134	1.76143032
135	1.759220876
136	1.755260465
137	1.7522743
138	1.750657818
139	1.747711654
140	1.745202704
141	1.741511098
142	1.739115127
143	1.735488799
144	1.732895366
145	1.730821188
146	1.729253285
147	1.726290274
148	1.722068198
149	1.719152936
150	1.715495377
151	1.713643125
152	1.710768737
153	1.70796192
154	1.705955569
155	1.703348898
156	1.700675434
157	1.699099881
158	1.697634517
159	1.694977237
160	1.693528438
161	1.690026271
162	1.687871183
163	1.685767999
164	1.684139245
165	1.683023514
166	1.682051113
167	1.678735323
168	1.677339764
169	1.674381038
170	1.672583034
171	1.670130162
172	1.668825213
173	1.6639836
174	1.662688173
175	1.659355942
176	1.656051604
177	1.655018456
178	1.653489316
179	1.651274433
180	1.649978146
181	1.646309899
182	1.643672876
183	1.640892111
184	1.639599863
185	1.637341078
186	1.635732531
187	1.633762893
188	1.633070674
189	1.631448632
190	1.629406658
191	1.627798235
192	1.625845999
193	1.624708847
194	1.620891439
195	1.619756011
196	1.616749718
197	1.616104262
198	1.614888412
199	1.613173419
200	1.609740617
201	1.607100876
202	1.60486758
203	1.603381626
204	1.601929882
205	1.600395941
206	1.599174043
207	1.59690786
208	1.594555515
209	1.58990897
210	1.58706517
211	1.584901217
212	1.583684758
213	1.582389309
214	1.580279363
215	1.579588085
216	1.577492224
217	1.57487655
218	1.573195968
219	1.572234595
220	1.569742801
221	1.567832003
222	1.566703174
223	1.565390395
224	1.564506361
225	1.563055027
226	1.56169194
227	1.559991104
228	1.558514481
229	1.556907565
230	1.554040308
231	1.553105792
232	1.551227247
233	1.550316876
234	1.54837735
235	1.547811429
236	1.546809227
237	1.544389606
238	1.543194001
239	1.541503077
240	1.540610897
241	1.539523475
242	1.538449971
243	1.537505164
244	1.53552779
245	1.533981016
246	1.531836216
247	1.529395144
248	1.527804286
249	1.526902629
250	1.525707031
251	1.524207452
252	1.522571611
253	1.521757228
254	1.52005222
255	1.518646226
256	1.517525863
257	1.516779406
