iter	Passed	Remaining
0	81	81624
1	102	51008
2	114	37970
3	126	31493
4	138	27502
5	144	23944
6	153	21731
7	158	19691
8	165	18211
9	173	17166
10	177	15993
11	184	15178
12	191	14544
13	196	13807
14	203	13339
15	209	12873
16	215	12439
17	222	12143
18	228	11774
19	235	11536
20	243	11369
21	252	11207
22	260	11059
23	269	10972
24	276	10765
25	288	10822
26	297	10734
27	306	10629
28	315	10564
29	324	10495
30	336	10526
31	342	10361
32	352	10317
33	358	10185
34	366	10107
35	371	9957
36	379	9871
37	387	9797
38	399	9836
39	405	9731
40	415	9729
41	432	9856
42	438	9765
43	449	9762
44	455	9670
45	464	9628
46	470	9534
47	482	9576
48	494	9589
49	504	9583
50	512	9541
51	530	9674
52	540	9663
53	548	9606
54	561	9652
55	572	9652
56	581	9627
57	596	9681
58	604	9648
59	611	9577
60	615	9482
61	624	9445
62	633	9426
63	644	9420
64	649	9347
65	659	9330
66	666	9286
67	674	9240
68	679	9164
69	688	9143
70	695	9095
71	703	9070
72	717	9109
73	725	9078
74	742	9161
75	754	9168
76	762	9138
77	784	9277
78	791	9230
79	805	9258
80	809	9186
81	819	9175
82	824	9105
83	830	9056
84	838	9023
85	843	8959
86	852	8949
87	857	8887
88	869	8895
89	873	8831
90	884	8830
91	889	8778
92	902	8797
93	914	8812
94	947	9025
95	961	9058
96	973	9059
97	990	9119
98	1004	9141
99	1017	9160
100	1032	9189
101	1039	9153
102	1053	9178
103	1070	9222
104	1079	9204
105	1101	9289
106	1113	9295
107	1131	9341
108	1156	9452
109	1166	9436
110	1179	9447
111	1192	9454
112	1202	9440
113	1212	9424
114	1223	9412
115	1231	9384
116	1242	9373
117	1250	9347
118	1260	9333
119	1273	9336
120	1284	9333
121	1298	9343
122	1313	9364
123	1331	9405
124	1342	9397
125	1354	9396
126	1364	9378
127	1374	9363
128	1387	9367
129	1401	9379
130	1410	9359
131	1421	9347
132	1431	9333
133	1441	9314
134	1455	9324
135	1468	9326
136	1481	9332
137	1497	9352
138	1509	9350
139	1521	9348
140	1548	9436
141	1571	9495
142	1590	9534
143	1610	9576
144	1634	9640
145	1650	9655
146	1670	9690
147	1690	9731
148	1714	9789
149	1733	9823
150	1775	9980
151	1813	10117
152	1846	10224
153	1897	10426
154	1931	10530
155	1985	10741
156	2033	10918
157	2085	11113
158	2109	11158
159	2180	11445
160	2246	11707
161	2267	11730
162	2297	11796
163	2327	11864
164	2350	11895
165	2380	11959
166	2407	12007
167	2434	12056
168	2463	12113
169	2498	12198
170	2520	12220
171	2540	12230
172	2560	12241
173	2589	12293
174	2613	12321
175	2641	12366
176	2667	12403
177	2698	12460
178	2731	12530
179	2760	12577
180	2784	12600
181	2812	12639
182	2840	12681
183	2862	12694
184	2892	12742
185	2929	12821
186	2969	12909
187	2992	12926
188	3019	12955
189	3044	12977
190	3065	12986
191	3086	12989
192	3109	13001
193	3126	12988
194	3146	12989
195	3167	12994
196	3187	12993
197	3205	12985
198	3232	13012
199	3273	13095
200	3305	13141
201	3328	13148
202	3353	13164
203	3375	13173
204	3412	13233
205	3447	13289
206	3479	13329
207	3512	13373
208	3537	13387
209	3557	13383
210	3588	13416
211	3617	13446
212	3648	13480
213	3667	13470
214	3698	13504
215	3715	13484
216	3735	13480
217	3768	13519
218	3799	13550
219	3830	13580
220	3860	13607
221	3892	13640
222	3930	13695
223	3991	13829
224	4018	13842
225	4044	13852
226	4084	13909
227	4106	13903
228	4127	13897
229	4145	13877
230	4169	13880
231	4190	13871
232	4220	13893
233	4251	13916
234	4279	13931
235	4301	13924
236	4332	13947
237	4355	13945
238	4385	13963
239	4412	13972
240	4437	13974
241	4460	13972
242	4478	13950
243	4498	13937
244	4519	13927
245	4539	13915
246	4567	13923
247	4593	13929
248	4623	13944
249	4644	13932
250	4663	13916
251	4691	13926
252	4714	13919
253	4735	13909
254	4757	13899
255	4778	13888
256	4799	13874
257	4824	13873
258	4849	13873
259	4872	13868
260	4886	13834
261	4911	13835
262	4935	13831
263	4955	13814
264	4982	13820
265	4998	13792
266	5027	13800
267	5051	13796
268	5074	13789
269	5100	13788
270	5119	13772
271	5150	13785
272	5169	13766
273	5188	13747
274	5215	13749
275	5255	13787
276	5287	13801
277	5322	13822
278	5348	13822
279	5377	13828
280	5401	13820
281	5428	13821
282	5455	13823
283	5479	13815
284	5527	13866
285	5553	13864
286	5590	13888
287	5618	13891
288	5643	13884
289	5680	13906
290	5716	13928
291	5753	13950
292	5788	13967
293	5822	13982
294	5844	13968
295	5868	13958
296	5893	13950
297	5919	13944
298	5946	13941
299	5968	13926
300	6002	13940
301	6022	13919
302	6046	13908
303	6063	13882
304	6082	13858
305	6111	13860
306	6144	13869
307	6172	13867
308	6196	13857
309	6218	13840
310	6235	13814
311	6258	13799
312	6276	13775
313	6294	13751
314	6312	13726
315	6333	13709
316	6362	13708
317	6381	13685
318	6400	13664
319	6417	13637
320	6434	13611
321	6450	13581
322	6465	13551
323	6479	13519
324	6495	13489
325	6514	13468
326	6530	13439
327	6548	13415
328	6566	13392
329	6599	13399
330	6624	13389
331	6649	13378
332	6671	13363
333	6689	13338
334	6710	13321
335	6744	13329
336	6769	13318
337	6801	13322
338	6834	13326
339	6858	13313
340	6878	13292
341	6898	13271
342	6916	13248
343	6940	13234
344	6961	13216
345	6984	13200
346	7012	13196
347	7038	13186
348	7060	13169
349	7082	13152
350	7109	13145
351	7127	13121
352	7146	13099
353	7170	13084
354	7197	13076
355	7222	13064
356	7254	13066
357	7281	13057
358	7299	13033
359	7322	13017
360	7352	13014
361	7388	13021
362	7418	13017
363	7444	13007
364	7466	12989
365	7485	12966
366	7504	12943
367	7521	12916
368	7536	12887
369	7550	12856
370	7575	12843
371	7603	12836
372	7636	12836
373	7662	12824
374	7686	12810
375	7711	12797
376	7733	12779
377	7753	12758
378	7772	12735
379	7793	12715
380	7818	12702
381	7859	12715
382	7883	12699
383	7904	12680
384	7924	12657
385	7946	12640
386	7970	12625
387	7993	12608
388	8019	12596
389	8048	12588
390	8075	12577
391	8098	12560
392	8127	12552
393	8151	12536
394	8174	12519
395	8198	12505
396	8219	12484
397	8248	12476
398	8273	12462
399	8316	12474
400	8340	12458
401	8363	12441
402	8388	12426
403	8414	12413
404	8444	12405
405	8467	12388
406	8498	12382
407	8529	12375
408	8552	12358
409	8576	12341
410	8598	12322
411	8625	12310
412	8663	12313
413	8685	12294
414	8700	12264
415	8718	12239
416	8735	12212
417	8751	12185
418	8770	12161
419	8785	12132
420	8803	12107
421	8822	12084
422	8838	12056
423	8856	12031
424	8887	12023
425	8913	12010
426	8936	11991
427	8954	11966
428	8979	11951
429	8995	11924
430	9009	11894
431	9040	11886
432	9058	11861
433	9074	11834
434	9097	11815
435	9119	11796
436	9145	11782
437	9165	11760
438	9198	11754
439	9248	11770
440	9293	11780
441	9332	11781
442	9367	11778
443	9413	11788
444	9447	11782
445	9509	11812
446	9556	11823
447	9578	11802
448	9615	11799
449	9650	11795
450	9690	11796
451	9718	11782
452	9769	11797
453	9801	11787
454	9824	11768
455	9843	11742
456	9876	11734
457	9898	11714
458	9946	11723
459	9984	11720
460	10019	11715
461	10078	11736
462	10110	11726
463	10149	11724
464	10169	11700
465	10199	11687
466	10238	11685
467	10267	11671
468	10294	11655
469	10318	11636
470	10358	11634
471	10380	11612
472	10407	11595
473	10433	11577
474	10458	11559
475	10492	11550
476	10511	11525
